H,k,eps,init,quantity,n_draws,n_degenerate,n,mean,std,min,q05,q25,q50,q75,q95,max,estimate,q50_over_estimate
256,16,1e-05,torch_default,kappa,1000,0,1000,0.000516524,3.20611e-05,0.000409764,0.000463866,0.0004963,0.000515415,0.000536622,0.000570718,0.000645919,,
256,16,1e-06,flax_default,eps_principal_width,1000,1000,16000,0.00410844,0.00053779,0.00310446,0.00334068,0.00366988,0.00404963,0.00450791,0.00506491,0.00569193,,
256,16,1e-06,flax_default,eps_principal_width_min,1000,1000,1000,0.00329585,6.86608e-05,0.00310446,0.00317832,0.00324938,0.00329679,0.00334537,0.00340266,0.00349213,,
256,16,1e-06,flax_default,eps_principal_width_max,1000,1000,1000,0.00515797,0.00015429,0.00478091,0.00493519,0.00504351,0.00514079,0.00525633,0.00544641,0.00569193,,
256,16,1e-05,tdmpc2_default,eps_principal_width,1000,1000,16000,0.162619,0.0216028,0.120714,0.131559,0.144838,0.160468,0.178525,0.201133,0.228217,0.158114,1.01489
256,16,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.129877,0.00295522,0.120714,0.125039,0.127903,0.12995,0.131902,0.134665,0.138751,0.158114,0.821879
256,16,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,0.204603,0.00585359,0.188248,0.195575,0.200727,0.204308,0.20827,0.214356,0.228217,0.158114,1.29216
256,24,1e-05,tdmpc2_default,eps_principal_width,1000,1000,24000,0.164712,0.0269067,0.115426,0.127019,0.142487,0.161178,0.184287,0.213488,0.245717,0.158114,1.01938
256,24,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.123961,0.00252796,0.115426,0.119691,0.122219,0.124093,0.12575,0.127852,0.131015,0.158114,0.784833
256,24,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,0.221557,0.00660089,0.203338,0.211528,0.217012,0.220956,0.225575,0.233161,0.245717,0.158114,1.39745
256,5,1e-05,tdmpc2_default,eps_principal_width,1000,1000,5000,0.159777,0.0123134,0.131031,0.141346,0.150078,0.15894,0.168718,0.180967,0.207041,0.158114,1.00523
256,5,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.144158,0.00421114,0.131031,0.137002,0.141367,0.144283,0.146988,0.150899,0.156817,0.158114,0.912523
